table,state_code,district_code,area_name,total,age_group,total_p,total_m,total_f,never_married_t,never_married_m,never_married_f,curr_married_t,curr_married_m,curr_married_f,widowed_t,widowed_m,widowed_f,separated_t,separated_m,separated_f,divorced_t,divorced_m,divorced_f,unspecified_t,unspecified_m,unspecified_f
C0402,2,0,State - HIMACHAL PRADESH (02),Total,75-79,75706,36440,39266,1192,853,339,40328,27358,12970,33843,8043,25800,220,134,86,123,52,71,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,80+,106737,48465,58272,3119,2082,1037,40831,30083,10748,62363,16072,46291,251,162,89,173,66,107,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,Age not stated,10163,5353,4810,5986,3530,2456,3684,1720,1964,444,86,358,31,12,19,18,5,13,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,Less than 18,2153758,1134312,1019446,2130757,1126062,1004695,21798,7779,14019,809,255,554,340,192,148,54,24,30,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,Less than 21,2551748,1341080,1210668,2475907,1321873,1154034,73863,18486,55377,1292,400,892,559,273,286,127,48,79,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Rural,All ages,6176050,3110345,3065705,2736978,1542516,1194462,3079194,1490256,1588938,340294,68237,272057,12293,6033,6260,7291,3303,3988,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Rural,0-9,1038490,544184,494306,1038490,544184,494306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Rural,10-14,580265,305500,274765,570600,301634,268966,9070,3620,5450,404,131,273,172,107,65,19,8,11,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Rural,15-19,575991,300554,275437,542551,292786,249765,32611,7464,25147,535,178,357,235,103,132,59,23,36,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Rural,20-24,573439,285167,288272,363058,233170,129888,208148,51318,156830,1312,380,932,652,221,431,269,78,191,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Rural,25-29,523605,255016,268589,136357,108004,28353,382716,145654,237062,2880,692,2188,1091,450,641,561,216,345,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Rural,30-34,485375,239272,246103,34930,27529,7401,442178,209344,232834,5916,1254,4662,1452,716,736,899,429,470,0,0,0
